"timestamp","tablet_id","lat","lon","activity"
"2019-06-16 13:43:35+00","CH184703916","48.8249766666667","2.35777166666667","Parc"
"2019-06-16 13:43:35+00","CH184703916","48.8249766666667","2.35777166666667","Rue"
"2019-06-16 13:54:15+00","CH184703942","48.892297","2.313673","Inconnu"
"2019-06-16 13:54:45+00","CH184703942","48.892397","2.313843","Inconnu"
"2019-06-16 13:58:18+00","CH184703942","48.89261","2.314295","Métro"
"2019-06-16 13:58:49+00","CH184703942","48.892335","2.314513","Métro"
"2019-06-16 14:22:01+00","CH184703942","48.884216","2.324717","Rue"
"2019-06-16 14:22:40+00","CH184703942","48.88387","2.324993","Rue"
"2019-06-16 14:38:01+00","CH184703942","48.883212","2.324729","Parc"
"2019-06-16 14:38:21+00","CH184703942","48.883239","2.324728","Parc"
"2019-06-17 05:25:48+00","CH184703916","48.8375833333333","2.53024333333333","Rue"
"2019-06-17 05:36:25+00","CH184703916","48.8373683333333","2.53036666666667","Métro"
"2019-06-17 05:36:56+00","CH184703916","48.83745","2.53018","Métro"
"2019-06-17 06:05:05+00","CH184703916","48.8373483333333","2.529475","Rue"
"2019-06-17 06:05:36+00","CH184703916","48.83731","2.52969166666667","Rue"
"2019-06-17 06:17:55+00","CH184703916","48.8384333333333","2.53061","Parc"
"2019-06-17 06:17:55+00","CH184703916","48.8384333333333","2.53061","Rue"
"2019-06-17 06:22:35+00","CH184703916","48.834955","2.52948333333333","Bureau"
"2019-06-17 12:32:04+00","CH184703942","48.840933","2.30111","Inconnu"
"2019-06-17 12:32:34+00","CH184703942","48.841128","2.301588","Inconnu"
"2019-06-17 14:22:15+00","CH184703942","48.862873","2.330425","Rue"
"2019-06-17 14:22:45+00","CH184703942","48.863242","2.330412","Rue"
"2019-06-17 14:55:14+00","CH184703942","48.86501","2.333923","Magasin"
"2019-06-17 14:55:26+00","CH184703916","48.8265416666667","2.35444166666667","Rue"
"2019-06-17 14:55:45+00","CH184703942","48.864887","2.33378","Magasin"
"2019-06-17 14:55:57+00","CH184703916","48.8267466666667","2.35466666666667","Rue"
"2019-06-17 14:57:16+00","CH184703942","48.864952","2.333978","Rue"
"2019-06-17 14:57:47+00","CH184703942","48.864748","2.333778","Rue"
"2019-06-17 15:19:09+00","CH184703916","48.8260916666667","2.35440166666667","Rue"
"2019-06-17 15:19:40+00","CH184703916","48.8261483333333","2.35442666666667","Rue"
"2019-06-17 15:21:13+00","CH184703916","48.82632","2.35461166666667","Train"
"2019-06-17 15:21:43+00","CH184703916","48.8263666666667","2.35446333333333","Train"
"2019-06-17 16:25:04+00","CH184703942","48.865095","2.334118","Rue"
"2019-06-17 16:25:35+00","CH184703942","48.86523","2.33412","Rue"
"2019-06-18 12:59:22+00","CH184703942","48.891458","2.314697","Rue"
"2019-06-18 12:59:53+00","CH184703942","48.89135","2.314497","Rue"
"2019-06-18 13:20:11+00","CH184703942","48.89178","2.314622","Inconnu"
"2019-06-18 13:20:41+00","CH184703942","48.89181","2.314622","Inconnu"
"2019-06-18 16:04:00+00","CH184703920","48.8478393555","2.35331535339","Domicile"
"2019-06-18 16:55:29+00","CH184703942","48.883237","2.324707","Rue"
"2019-06-19 05:15:00+00","CH184703920","48.8147087097","2.45871090889","Rue"
"2019-06-19 06:30:00+00","CH184703920","48.8147087097","2.45871090889","Bureau"
"2019-06-19 06:56:00+00","CH184703949","48.8811035156","2.3484723568","Rue"
"2019-06-19 07:02:00+00","CH184703949","48.8797683716","2.34910607338","Métro"
"2019-06-19 07:16:00+00","CH184703949","48.8797683716","2.34910607338","Bureau"
"2019-06-19 08:13:44+00","CH184703942","48.860813","2.312582","Rue"
"2019-06-19 08:31:00+00","CH184703949","47.9599380493","2.07958388329","Rue"
"2019-06-19 08:41:00+00","CH184703949","47.9599380493","2.07958388329","Bureau"
"2019-06-19 10:07:02+00","CH184703942","48.883247","2.324727","Rue"
"2019-06-19 10:07:43+00","CH184703942","48.883242","2.324714","Rue"
"2019-06-19 10:35:00+00","CH184703949","47.9599380493","2.07958388329","Rue"
"2019-06-19 10:41:00+00","CH184703949","47.9599380493","2.07958388329","Restaurant"
"2019-06-19 11:31:00+00","CH184703920","48.8153114319","2.45957398415","Restaurant"
"2019-06-19 12:06:00+00","CH184703949","47.9599380493","2.07958388329","Bureau"
